trial	row	vector
14	6	0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 -1 0 0 -1 0
14	7	-1 0 0 -1 1 0 -1 0 0 -1 0 0 0 0 0 0 1 1 0 0 1
14	8	-1 0 -1 -1 0 0 -1 -1 0 0 1 0 0 0 0 0 1 1 1 0 1
14	9	-1 0 0 1 2 0 1 1 -1 -1 -1 0 0 0 -1 0 0 0 -1 0 0
14	10	0 1 -1 -1 0 0 -1 -1 1 1 0 -1 0 1 0 -1 0 1 0 -1 0
14	11	-1 -2 1 1 2 1 1 2 -2 -1 0 1 0 1 -1 0 -1 -1 0 0 0
14	12	1 0 -1 0 0 0 -1 0 1 0 0 1 1 0 -1 1 0 1 0 -1 1
14	13	1 0 -1 0 0 0 0 1 0 0 1 0 0 1 0 0 -1 0 0 -1 -1
14	14	1 1 -1 0 -1 -1 -1 -1 1 1 0 0 0 -1 0 0 1 1 0 0 0
14	15	0 -1 -1 0 1 0 0 0 0 -1 0 1 0 0 0 2 0 0 0 0 1
14	16	0 -1 -1 0 2 0 0 1 -1 -1 0 1 1 1 -1 1 -1 0 0 -1 1
15	0	-1 -2 0 1 2 1 1 2 -1 -2 0 1 1 1 -1 1 -2 -1 0 -1 1
15	1	0 1 -1 -1 0 -1 -1 -1 1 0 0 0 0 0 0 0 1 1 0 0 1
15	2	0 1 0 0 1 0 0 0 0 0 -1 -1 0 1 -1 -1 -1 0 0 -1 0
15	3	-1 0 1 0 0 1 0 0 -1 -1 0 -1 0 0 0 -1 0 0 1 0 0
15	4	-1 -1 1 1 0 0 1 1 -2 0 -1 0 -1 0 0 -1 1 0 0 1 0
15	5	0 0 -1 -1 1 -1 -1 0 1 0 0 1 1 0 0 1 0 1 0 -1 2
15	6	0 0 0 0 1 0 0 0 0 0 0 0 1 0 -1 0 -1 0 0 0 0
15	7	-1 -2 1 1 0 1 1 1 -1 0 1 1 0 0 0 1 -1 -1 0 1 -1
15	8	-1 -1 1 1 1 1 0 1 -1 -1 0 0 1 0 -1 0 -1 0 0 0 0
15	9	0 -1 0 1 1 1 1 1 -1 -1 -1 1 0 0 -1 0 0 0 0 0 1
15	10	0 0 0 1 1 -1 2 1 -1 0 -1 0 0 0 0 0 0 0 -2 1 -1
15	11	-1 -1 0 0 2 0 0 1 0 -1 0 1 0 0 -1 1 0 0 0 0 1
15	12	0 -1 0 1 1 0 1 1 -1 0 -1 1 0 0 -1 0 0 0 0 0 1
15	13	-1 0 1 0 0 1 0 0 0 0 0 -1 0 0 0 0 -1 0 0 0 -1
15	14	0 -1 0 0 0 0 -1 -1 1 -1 0 1 0 0 0 1 0 1 1 0 1
15	15	-1 1 0 0 1 0 -1 -1 0 0 0 -1 0 -1 -1 -1 1 1 0 0 1
15	16	0 2 -1 -1 -1 -1 0 -1 1 2 -1 -1 -1 0 1 -1 1 1 -1 0 0
16	0	-1 0 0 0 0 0 0 0 1 0 0 -1 0 0 0 0 -1 0 0 0 0
