priority_rank	orbit_mask	orbit_hex	short_orbit_mask	coefficient_l1	support_count	maximum_absolute_coefficient	minimal_unoriented_count	section_basis_w	short_basis_w
19195	92969	0x16b29	51755	9	9	1	5	-1 0 0 -1 0 -1 0 0 -1 1 0 -1 0 1 1 0 1	3 1 2 -1 0 -1 0 -2 0 1 0 -1 0 2 1 -1 0
19196	109353	0x1ab29	7067	9	9	1	4	-1 0 0 -1 0 -1 0 0 -1 1 0 1 0 1 0 -1 1	-1 1 0 3 1 0 0 3 -1 -3 2 1 -1 -2 0 0 0
19197	113193	0x1ba29	13398	9	9	1	3	-1 0 0 -1 0 -1 0 0 0 -1 0 1 1 1 0 -1 1	2 1 1 0 1 0 1 0 0 0 1 0 -1 -1 0 0 0
19198	129065	0x1f829	9937	9	9	1	3	-1 0 0 -1 0 -1 0 0 0 0 0 -1 1 1 1 -1 1	1 0 0 -2 -1 0 1 -1 0 1 -1 0 0 -1 0 0 0
19199	112169	0x1b629	77681	9	9	1	3	-1 0 0 -1 0 -1 0 0 0 1 -1 0 1 1 0 -1 1	1 0 0 -2 -1 -1 -1 -2 1 1 -1 -1 0 1 0 0 -1
19200	125481	0x1ea29	2709	9	9	1	2	-1 0 0 -1 0 -1 0 0 0 1 0 -1 0 1 1 -1 1	-1 0 -1 0 -1 0 0 1 0 -1 0 1 0 -2 0 0 0
19201	64041	0x0fa29	41722	9	9	1	4	-1 0 0 -1 0 -1 0 0 0 1 0 -1 1 1 1 -1 0	0 1 0 1 1 1 1 1 -2 -1 0 0 0 -1 0 -1 0
19202	63785	0x0f929	41331	9	9	1	3	-1 0 0 -1 0 -1 0 0 1 0 0 -1 1 1 1 -1 0	1 1 0 0 1 1 1 0 -1 0 0 0 0 -1 0 -1 0
19203	123305	0x1e1a9	12361	9	9	1	3	-1 0 0 -1 0 -1 0 1 -1 0 0 0 0 1 1 -1 1	1 0 0 -1 0 0 1 0 0 0 0 0 -1 -1 0 0 0
19204	107433	0x1a3a9	8910	9	9	1	4	-1 0 0 -1 0 -1 0 1 -1 1 0 0 0 1 0 -1 1	0 1 1 -1 0 0 1 1 0 -1 0 0 0 -1 0 0 0
19205	78313	0x131e9	57532	9	9	1	3	-1 0 0 -1 0 -1 1 -1 -1 0 0 0 1 1 0 0 1	2 0 1 -1 -1 -1 0 -1 0 0 0 0 0 1 1 -1 0
19206	82921	0x143e9	38374	9	9	1	4	-1 0 0 -1 0 -1 1 -1 -1 1 0 0 0 0 1 0 1	4 1 3 -4 0 -1 1 -3 1 2 -1 -2 1 2 0 -1 0
19207	41961	0x0a3e9	35812	9	9	1	3	-1 0 0 -1 0 -1 1 -1 -1 1 0 0 0 1 0 -1 0	0 2 1 2 2 1 1 1 -1 -1 0 -1 0 0 0 -1 0
19208	70633	0x113e9	43813	9	9	1	5	-1 0 0 -1 0 -1 1 -1 -1 1 0 0 1 0 0 0 1	3 0 1 -2 0 -1 0 -2 1 1 0 -1 0 1 0 -1 0
19209	13289	0x033e9	25751	9	9	1	4	-1 0 0 -1 0 -1 1 -1 -1 1 0 0 1 1 0 0 0	-3 1 -1 4 3 2 0 3 -2 -2 1 0 0 -1 -1 0 0
19210	123113	0x1e0e9	7873	9	9	1	4	-1 0 0 -1 0 -1 1 -1 0 0 0 0 0 1 1 -1 1	-1 0 -2 2 0 0 -1 1 0 -1 1 1 -1 -2 0 0 0
19211	119017	0x1d0e9	31004	9	9	1	4	-1 0 0 -1 0 -1 1 -1 0 0 0 0 1 0 1 -1 1	0 0 1 -1 1 0 0 0 1 0 0 -1 1 1 -1 0 0
19212	61673	0x0f0e9	46766	9	9	1	2	-1 0 0 -1 0 -1 1 -1 0 0 0 0 1 1 1 -1 0	0 1 -1 3 2 1 0 1 -2 -1 1 0 -1 -1 0 -1 0
19213	104681	0x198e9	32642	9	9	1	5	-1 0 0 -1 0 -1 1 -1 0 0 0 1 1 0 0 -1 1	0 -1 0 -2 0 0 0 -1 1 1 -1 -1 1 1 -1 0 0
19214	47337	0x0b8e9	45104	9	9	1	3	-1 0 0 -1 0 -1 1 -1 0 0 0 1 1 1 0 -1 0	0 2 0 4 3 1 0 2 -2 -2 2 0 -1 -1 0 -1 0
19215	51945	0x0cae9	50538	9	9	1	4	-1 0 0 -1 0 -1 1 -1 0 1 0 -1 0 0 1 -1 0	0 1 0 1 0 1 1 0 -1 0 -1 0 0 0 1 -1 0
19216	84713	0x14ae9	33398	9	9	1	6	-1 0 0 -1 0 -1 1 -1 0 1 0 -1 0 0 1 0 1	4 1 3 -2 1 -1 1 -2 0 1 0 -2 0 2 0 -1 0
19217	72425	0x11ae9	48309	9	9	1	3	-1 0 0 -1 0 -1 1 -1 0 1 0 -1 1 0 0 0 1	3 0 1 0 1 -1 0 -1 0 0 1 -1 -1 1 0 -1 0
19218	23273	0x05ae9	10777	9	9	1	4	-1 0 0 -1 0 -1 1 -1 0 1 0 -1 1 0 1 0 0	-3 0 -2 3 1 2 0 2 -2 -1 0 1 0 -1 0 0 0
19219	15081	0x03ae9	29447	9	9	1	3	-1 0 0 -1 0 -1 1 -1 0 1 0 -1 1 1 0 0 0	-3 1 -1 2 2 2 0 2 -1 -1 0 0 1 -1 -1 0 0
