trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
118	3	19	64.2326310432085	0.8759864098550878	0.013637716463238483	2	0.12423435524258174	0.0019608733379352593	0.578595366893712	0.578595366893712	7	12	0.5833333333333334	0.004737966439621322	0.6128524452330673	0.8886210879083165	0.9426670079663956	0.8886210879083165	0.8886210879083165	3.7632804751919684	3.7185356440903212	-3.71853564409032 0.578595366893712	-26/7:0.00424993 7/12:0.00473797
118	4	20	65.08752459519579	2.136648999321679	0.03282732002192918	3	21.31337942426386	0.3385716119516655	-4.635421308816623	4.635421308816623	-51	11	-4.636363636363637	0.0009423275470137327	0.8941334044077764	0.8831276408229072	0.9397487115303257	0.8831276408229072	0.8831276408229072	5.414953285185447	4.635421308816623	-2.39056409996194 1.45595042995379 -4.63542130881662	-12/5:0.0094359 16/11:0.00140498 -51/11:0.000942328
119	1	17	56.35267047097974	0.6046963125141005	0.010730570662582964	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
119	2	18	66.40603978612879	1.0705786849325136	0.016121706525196844	1	31.23690506353539	0.4781003231178459	7.187292815792815	7.187292815792815	79	11	7.181818181818182	0.005474633974633214	1.0	1.0	1.0	1.0	1.0	7.187292815792815	7.187292815792815	7.18729281579281	79/11:0.00547463
119	3	19	66.71890917299473	0.8140172588164916	0.012200697956644272	2	32.49412708815155	0.49304575342397355	-5.505851364615849	5.505851364615849	-11	2	-5.5	0.0058513646158493415	0.14734791575699777	0.998763548708622	0.9993815831346013	0.998763548708622	0.998763548708622	40.208677181379116	39.829929970150786	39.8299299701508 -5.50585136461585	239/6:0.00340336 -11/2:0.00585136
119	4	20	63.0506687676206	1.5844231003081646	0.025129362325207218	3	42.9835462353191	0.6993032642333258	6.957847539129131	6.957847539129131	83	12	6.916666666666667	0.041180872462463824	0.13354394869141556	0.9168138944679943	0.9575039918809709	0.9168138944679943	0.9168138944679943	292.9014461123546	290.05567891165447	-290.055678911654 40.1316411753873 6.95784753912913	-3481/12:0.0276544 321/8:0.00664118 83/12:0.0411809
120	1	17	62.18430135024105	0.49981067560990056	0.008037570009749142	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
120	2	18	64.94240353389654	0.4051900283335357	0.006239221314345837	1	28.33693551995307	0.4390790054409534	7.529630712111001	7.529630712111001	83	11	7.545454545454546	0.015823833343544536	1.0	1.0	1.0	1.0	1.0	7.529630712111001	7.529630712111001	7.529630712111	83/11:0.0158238
120	3	19	60.991442812008515	0.44901157407435477	0.007361878213937735	2	27.877910735493106	0.46046896640030544	8.182685088544105	8.182685088544105	90	11	8.181818181818182	0.0008669067259230445	0.045500717269263254	0.9731733356113115	0.9864954817997452	0.9731733356113115	0.9731733356113115	63.36638218009328	62.83583416598654	-62.8358341659865 8.1826850885441	-377/6:0.00250083 90/11:0.000866907
120	4	20	61.74034393181053	0.8694498733124121	0.014082362000974288	3	38.32290799970902	0.6295768871552955	8.789270356566163	8.789270356566163	44	5	8.8	0.01072964343383731	0.12865528092727171	0.9051170091745467	0.9513763761911196	0.9051170091745467	0.9051170091745467	576.2504680688558	571.3326371108632	571.332637110863 -74.6080990785941 8.78927035656616	1714/3:0.000696222 -373/5:0.00809908 44/5:0.0107296
121	1	17	55.15730948314258	0.6219755472675246	0.011276393883164577	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
121	2	18	64.69907987281229	0.6044452254109984	0.009342408371173717	1	24.014716678079218	0.37467592740311984	-6.213725706080239	6.213725706080239	-56	9	-6.222222222222222	0.008496516141983435	1.0	1.0	1.0	1.0	1.0	6.213725706080239	6.213725706080239	-6.21372570608024	-56/9:0.00849652
