any_second_direction_given_seed,arm,censored_or_stopped,certified_endpoints,classes,cohort,cpu_seconds,deep,family,gain_after_seed_phase,known_equations,later_acquiring_call_given_seed_and_exposure,previous_equations,ranks,rows,seed,trajectories_unknown
"[2, 2]",,0,4,"{""deep amplifier"": 2, ""no seed"": 2}",fresh_r17_paired,,"[2, 4]",11952,0,0,"[2, 2]",0,"{""17"": 2, ""25"": 1, ""27"": 1}",4,"[2, 4]",0
"[6, 15]",,0,64,"{""amplifier"": 4, ""deep amplifier"": 2, ""no seed"": 49, ""seed only"": 9}",full11952_64_r17,,"[2, 64]",ALL,0,1,"[6, 15]",0,"{""17"": 49, ""18"": 9, ""19"": 2, ""20"": 1, ""23"": 1, ""27"": 1, ""28"": 1}",64,"[15, 64]",0
"[6, 15]",,0,64,"{""amplifier"": 4, ""deep amplifier"": 2, ""no seed"": 49, ""seed only"": 9}",full11952_64_r17,,"[2, 64]",11952,0,1,"[6, 15]",0,"{""17"": 49, ""18"": 9, ""19"": 2, ""20"": 1, ""23"": 1, ""27"": 1, ""28"": 1}",64,"[15, 64]",0
"[7, 11]",,0,64,"{""amplifier"": 5, ""deep amplifier"": 2, ""no seed"": 53, ""seed only"": 4}",full11952_late64_r17,,"[2, 64]",ALL,0,0,"[7, 11]",0,"{""17"": 53, ""18"": 4, ""19"": 3, ""20"": 1, ""21"": 1, ""26"": 1, ""27"": 1}",64,"[11, 64]",0
"[7, 11]",,0,64,"{""amplifier"": 5, ""deep amplifier"": 2, ""no seed"": 53, ""seed only"": 4}",full11952_late64_r17,,"[2, 64]",11952,0,0,"[7, 11]",0,"{""17"": 53, ""18"": 4, ""19"": 3, ""20"": 1, ""21"": 1, ""26"": 1, ""27"": 1}",64,"[11, 64]",0
"[401, 555]",,922,806,"{""UNKNOWN"": 116, ""amplifier"": 296, ""deep amplifier"": 54, ""no seed"": 251, ""seed only"": 205}",high-rank-foundry-v1-v3,,"[54, 806]",ALL,0,0,"[350, 555]",0,"{""17"": 251, ""18"": 154, ""19"": 81, ""20"": 57, ""21"": 74, ""22"": 76, ""23"": 55, ""24"": 33, ""25"": 18, ""26"": 6, ""27"": 1}",922,"[555, 806]",116
"[71, 90]",,155,128,"{""UNKNOWN"": 27, ""amplifier"": 58, ""deep amplifier"": 7, ""no seed"": 38, ""seed only"": 25}",high-rank-foundry-v1-v3,,"[7, 128]",074d9,0,0,"[65, 90]",0,"{""17"": 38, ""18"": 19, ""19"": 15, ""20"": 13, ""21"": 13, ""22"": 10, ""23"": 12, ""24"": 6, ""25"": 1, ""26"": 1}",155,"[90, 128]",27
"[82, 99]",,154,129,"{""UNKNOWN"": 25, ""amplifier"": 62, ""deep amplifier"": 13, ""no seed"": 30, ""seed only"": 24}",high-rank-foundry-v1-v3,,"[13, 129]",07ca9,0,0,"[75, 99]",0,"{""17"": 30, ""18"": 17, ""19"": 15, ""20"": 9, ""21"": 14, ""22"": 18, ""23"": 12, ""24"": 10, ""25"": 3, ""26"": 1}",154,"[99, 129]",25
"[35, 65]",,153,142,"{""UNKNOWN"": 11, ""amplifier"": 20, ""deep amplifier"": 3, ""no seed"": 77, ""seed only"": 42}",high-rank-foundry-v1-v3,,"[3, 142]",08234,0,0,"[23, 65]",0,"{""17"": 77, ""18"": 30, ""19"": 16, ""20"": 7, ""21"": 5, ""22"": 1, ""23"": 3, ""24"": 2, ""25"": 1}",153,"[65, 142]",11
"[65, 91]",,154,133,"{""UNKNOWN"": 21, ""amplifier"": 54, ""deep amplifier"": 9, ""no seed"": 42, ""seed only"": 28}",high-rank-foundry-v1-v3,,"[9, 133]",08f72,0,0,"[63, 91]",0,"{""17"": 42, ""18"": 26, ""19"": 7, ""20"": 7, ""21"": 13, ""22"": 19, ""23"": 10, ""24"": 6, ""25"": 3}",154,"[91, 133]",21
