attribution,batch_cpu_lower,batch_cpu_upper,batch_elapsed_lower,batch_elapsed_upper,call,deep_event,directions,id,point_search_cpu_sum,point_search_elapsed_sum,rank_after_call_attribution,rank_from_earlier_calls,timing_scope
ORIGINATING_CALL; may be certified by later reconciliation,0.0,143.884829917,0.0,155.33378211699892,17,False,1,broad-rank-v1:b-3aed26a3ee147fd65cd5,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,143.884829917,258.288241845,155.33378211699892,279.7918352409906,128,False,1,broad-rank-v1:b-3aed26a3ee147fd65cd5,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,251.175807022,0.0,349.5170070299937,159,False,1,broad-rank-v1:b-64687f0c57d3c4b85935,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,198.46460276899998,0.0,217.34347281999362,83,False,1,broad-rank-v1:b-47649bef4c1ba81df0ee,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,198.46460276899998,0.0,217.34347281999362,94,False,1,broad-rank-v1:b-47649bef4c1ba81df0ee,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,132.003329971,0.0,142.80204341100762,17,False,1,broad-rank-v1:b-59a69a295373475c78ce,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,150.533419847,0.0,164.01146738999523,25,False,1,broad-rank-v1:b-0baead4ef43f4ac7e008,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,165.69194968899998,0.0,188.36519250899437,17,False,1,broad-rank-v1:b-4326ff5dbc0740fa5f78,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,165.69194968899998,0.0,188.36519250899437,58,False,1,broad-rank-v1:b-4326ff5dbc0740fa5f78,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,146.225641232,0.0,160.17947200400522,7,False,1,broad-rank-v1:b-cc5fdc8031a9cc35fb89,,,18,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,146.225641232,0.0,160.17947200400522,78,False,1,broad-rank-v1:b-cc5fdc8031a9cc35fb89,,,19,18,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,192.34823542099997,0.0,212.39540707800188,7,False,2,broad-rank-v1:b-71bb135b085b9479ee93,,,19,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,192.34823542099997,0.0,212.39540707800188,22,False,1,broad-rank-v1:b-71bb135b085b9479ee93,,,20,19,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,192.34823542099997,0.0,212.39540707800188,25,False,1,broad-rank-v1:b-71bb135b085b9479ee93,,,21,20,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
ORIGINATING_CALL; may be certified by later reconciliation,0.0,416.048466848,0.0,490.21357561399054,1,False,4,broad-rank-v1:b-37d50595eb8037ca7d7c,,,21,17,Enclosing batch sums; includes preparation and verification. Not exact discovery CPU.
