observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
rank_jump_retrospective_report_v1.json:a1-fibration-03:-181/936,a1-fibration-03,-181/936,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:632/611,a1-fibration-04,632/611,,16,20,4,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-34/87,a1-fibration-05,-34/87,,16,24,8,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:28/323,a1-fibration-02,28/323,,16,20,4,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:873/227,a1-fibration-03,873/227,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:39/10,a1-fibration-02,39/10,,16,21,5,UNKNOWN,,historic_or_prior,36,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:-197/118,a1-fibration-01,-197/118,,16,20,4,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:-601/466,a1-fibration-02,-601/466,,16,21,5,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:-1013/283,a1-fibration-03,-1013/283,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:2407/532,a1-fibration-01,2407/532,,16,20,4,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:-3581/4061,a1-fibration-02,-3581/4061,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:-1193/4073,a1-fibration-03,-1193/4073,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-1905/52,a1-fibration-04,-1905/52,,16,25,9,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:-3187/3697,a1-fibration-01,-3187/3697,,16,17,1,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:-1511/3474,a1-fibration-02,-1511/3474,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:3769/1361,a1-fibration-03,3769/1361,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:-3158/1291,a1-fibration-05,-3158/1291,,16,16,0,UNKNOWN,prospective-mw16-h4096-v1,historic_or_prior,43,94196044392844,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-01:320/2617,a1-fibration-01,320/2617,,16,18,2,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-02:-2968/3107,a1-fibration-02,-2968/3107,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-03:3343/780,a1-fibration-03,3343/780,,16,16,0,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-04:-2177/2397,a1-fibration-04,-2177/2397,,16,16,0,UNKNOWN,prospective-mw16-h4096-v1,historic_or_prior,43,93613610761223,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
rank_jump_retrospective_report_v1.json:a1-fibration-05:1666/3461,a1-fibration-05,1666/3461,,16,17,1,UNKNOWN,,historic_or_prior,43,,UNTESTED_NO_VALID_ATLAS_OR_PARAMETER,,,,,
