orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
78667	rational	10	3 1 -4 1 -2 0 -1 2 3 -1 0 2 -1 1 0 0 1	1 -1 -1 1 0 1 1 -1 -1 0 1 -1 1 -1 0 0 1	2O+4F+phi(w)
78669	genus_one	8	1 0 -1 1 -2 0 1 0 -1 1 0 0 -1 1 2 0 -1	1 0 -1 0 2 1 1 -1 -1 -2 1 1 1 -3 0 2 -1	2O+4F+phi(w)
78671	genus_one	8	1 1 -1 1 -2 0 1 0 -1 1 0 0 -1 1 2 0 -1	1 1 -1 0 2 1 1 -1 -1 -2 1 1 1 -3 0 2 -1	2O+4F+phi(w)
78672	genus_one	8	0 0 0 0 1 0 -1 0 1 -1 2 0 -1 1 0 0 -1	0 0 0 1 0 1 0 -1 1 0 -1 1 1 -1 0 0 -1	2O+4F+phi(w)
78675	genus_one	8	1 1 0 0 -1 0 1 2 -1 -1 0 0 1 1 0 -2 1	1 -1 -2 -1 0 -3 0 1 -1 0 1 -3 -1 5 2 -2 1	2O+4F+phi(w)
78676	genus_one	8	0 0 -1 0 1 0 -1 0 1 -1 2 0 -1 1 0 0 -1	0 0 0 0 0 1 0 -1 1 0 -1 1 1 -1 0 0 -1	2O+4F+phi(w)
78680	genus_one	8	-2 0 2 -1 1 0 1 0 -1 1 -2 0 1 -1 -2 0 1	0 0 -1 -1 0 -3 0 1 1 0 1 -1 -1 3 0 -2 1	2O+4F+phi(w)
78682	genus_one	8	-2 -1 2 -1 1 0 1 -2 -1 1 0 0 1 -1 0 0 -1	-2 1 1 -1 0 1 -2 1 1 0 -1 1 -1 1 0 0 -1	2O+4F+phi(w)
78684	genus_one	8	0 0 -1 1 1 0 -1 0 1 -1 2 0 -1 1 0 0 -1	0 0 1 0 0 1 0 -1 1 0 -1 1 1 -1 0 0 -1	2O+4F+phi(w)
78685	rational	10	-1 0 1 -1 1 0 1 0 -1 1 -2 0 1 -1 0 0 1	-1 0 -1 0 0 -1 2 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78686	genus_one	8	0 -1 1 -1 1 0 1 0 -1 1 -2 0 1 -1 0 0 1	0 -1 -1 0 0 -1 2 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
