mask	representative
68808	2 -2 0 -1 2 2 1 -1 -2 -2 1 1 2 -2 0 0 -1
71488	2 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 0 -2 0 -1
71488	0 0 0 0 0 0 1 0 -1 -1 -1 0 1 0 2 0 1
71488	0 0 0 0 2 -2 -3 0 -1 1 1 -2 -1 2 -2 0 -1
71488	2 0 2 2 4 -4 -9 2 -5 1 1 -6 -1 2 -4 0 -3
74937	1 0 0 -1 1 1 0 -1 0 0 1 0 0 -1 -2 0 -1
74937	1 0 0 1 3 -1 -4 -1 -2 0 1 -2 0 1 -2 0 -1
74937	1 0 2 1 3 -3 -6 1 -2 0 -1 -4 0 3 -2 -2 -3
74937	1 0 0 1 1 1 0 -1 0 0 1 0 0 -1 0 0 -1
84932	0 0 1 0 0 0 -1 1 -1 -1 0 -1 0 0 1 0 1
84932	0 0 1 0 2 0 -1 -1 -1 -1 0 -1 0 0 -1 0 -1
