priority	mask	hex	multiplicity	witness
172	17477	0x04445	25	1 0 1 0 2 -2 -3 0 0 0 -1 -2 0 2 -1 -2 -2
173	31206	0x079e6	24	0 1 1 2 2 -5 -7 3 -1 2 -2 -5 -1 5 -3 -2 -4
174	50094	0x0c3ae	24	2 -1 1 1 2 -1 -4 1 -3 1 2 -2 -2 0 -3 1 -2
175	83787	0x1474b	25	1 1 2 3 4 -4 -9 2 -3 1 -1 -6 -2 4 -3 0 -3
176	49751	0x0c257	25	1 -1 -1 0 1 2 1 -2 0 -1 2 0 0 -2 -1 1 0
177	73631	0x11f9f	24	1 -1 -1 -1 1 2 2 -1 1 -1 1 1 1 -2 0 0 -1
178	94555	0x1715b	25	1 1 0 1 1 -2 -3 0 -1 0 0 -2 -1 1 -1 0 -1
179	106346	0x19f6a	25	0 1 0 1 2 -3 -5 0 -1 1 1 -3 -1 2 -2 -1 -1
180	122515	0x1de93	24	1 1 2 2 3 -4 -8 1 -2 1 -1 -5 -1 4 -3 -1 -3
181	44214	0x0acb6	24	0 1 1 2 1 -3 -4 1 0 2 -1 -3 -2 3 -2 -1 -2
182	29160	0x071e8	25	0 0 0 1 0 -1 -1 1 -1 0 -2 0 1 1 1 0 0
183	52305	0x0cc51	25	1 0 0 0 1 0 -1 0 0 0 1 -1 0 0 -1 -1 -2
184	89028	0x15bc4	24	2 0 1 2 4 -4 -7 1 -3 1 0 -5 -1 2 -3 0 -3
185	3845	0x00f05	25	1 0 -1 0 0 2 2 -2 1 -1 1 1 0 -2 0 0 0
186	106894	0x1a18e	24	0 1 1 1 2 -2 -4 -1 -1 0 0 -2 0 1 -2 -1 -1
187	5113	0x013f9	22	1 0 2 1 3 -3 -7 1 -3 1 0 -4 -1 2 -4 0 -2
188	93739	0x16e2b	20	1 -1 0 -1 0 1 2 -2 0 -1 1 1 0 -3 -1 0 1
189	124417	0x1e601	20	1 0 2 2 2 -4 -6 2 -2 1 -1 -4 -2 3 -3 -1 -3
190	129052	0x1f81c	21	2 0 1 1 5 -4 -8 2 -4 0 0 -5 -1 3 -3 -1 -3
191	122417	0x1de31	20	1 0 0 0 1 -1 -2 0 0 1 1 -1 -1 2 -1 -1 -1
192	11238	0x02be6	21	0 1 1 2 2 -1 -5 1 -1 1 0 -3 -2 3 -2 0 -2
193	4724	0x01274	23	0 0 1 2 1 -1 -3 0 0 1 0 -2 -1 2 -2 0 -2
194	101365	0x18bf5	20	1 0 1 2 3 -3 -5 1 -3 1 0 -3 0 2 -2 -1 -3
195	73073	0x11d71	21	1 0 0 0 3 -1 -3 0 -1 0 1 -3 -1 0 -2 0 -1
196	29295	0x0726f	21	1 -1 -1 -1 0 1 3 -2 0 -1 0 2 1 -1 1 0 0
197	11717	0x02dc5	21	1 -2 -1 -2 -2 2 5 -1 -1 -2 1 3 2 -3 2 0 2
198	93603	0x16da3	22	1 -1 0 0 2 1 0 -1 -1 -2 1 -1 0 -1 -1 0 -1
199	8269	0x0204d	22	1 0 1 1 4 -2 -5 0 -2 0 0 -4 0 1 -2 0 -2
200	23352	0x05b38	22	0 0 0 1 1 -1 -2 0 1 1 0 -1 -1 2 -1 0 -2
201	47137	0x0b821	21	1 0 0 0 2 -1 -2 0 0 0 0 -1 -1 1 -2 -1 -2
202	16661	0x04115	23	1 0 1 2 1 0 -2 0 -1 0 0 -2 0 0 -1 0 -2
203	47728	0x0ba70	21	2 0 2 2 5 -5 -9 2 -4 1 0 -7 -1 3 -4 -1 -4
204	63791	0x0f92f	21	1 -1 -1 -1 0 1 2 -2 1 -2 0 1 1 -1 1 -1 0
205	80064	0x138c0	21	0 0 0 0 0 0 1 -1 0 0 0 1 1 -1 0 0 -1
206	120189	0x1d57d	21	1 -2 -1 -3 -3 5 9 -2 1 -2 1 6 1 -4 3 1 3
207	87905	0x15761	23	1 0 0 0 2 -1 -3 0 -1 1 1 -2 -1 0 -3 0 -1
208	44375	0x0ad57	21	1 -1 1 0 -1 -2 -1 2 -1 0 -1 -1 0 1 0 -1 0
209	39933	0x09bfd	21	1 0 1 1 1 -3 -5 1 -1 1 0 -3 -1 2 -2 -1 -2
210	7942	0x01f06	22	2 -1 1 0 2 0 -2 0 -1 1 1 -1 -1 0 -2 0 -2
211	24261	0x05ec5	21	1 0 1 2 2 -2 -5 1 -2 1 1 -3 -1 0 -3 0 -2
212	105829	0x19d65	22	3 -2 1 0 2 1 -1 0 -3 0 3 -1 -1 -2 -2 1 -1
213	7552	0x01d80	22	0 0 0 0 2 0 -2 -1 -1 0 1 -1 -1 0 -2 0 0
214	23185	0x05a91	21	1 0 0 0 1 -2 -2 1 0 1 0 -1 -1 2 -1 -2 -2
215	109473	0x1aba1	22	1 0 0 0 2 -3 -4 1 -1 1 0 -3 0 3 -2 -1 -3
216	128056	0x1f438	20	0 0 0 1 1 -1 -2 0 0 0 1 -2 -1 1 -1 -1 -1
217	92673	0x16a01	22	1 0 2 2 4 -4 -8 2 -4 1 0 -5 -2 3 -3 0 -3
