observation_id,family,parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,realizable_defect_span_exact,collision_support_size,rational_relation_component_count,split_triple_count,split_triples_with_some_fourth,triple_fourth_incidences,split_quartet_count,simultaneous_carrier_genus,simultaneous_carrier_degree
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:27,published-R17,-5353/4106,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97031561435902,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:28,published-R17,-9795/13063,17,18,1,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,97003928258287,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:29,published-R17,-14466/15721,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96968218773885,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:30,published-R17,-14809/1336,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96937067575804,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:31,published-R17,4120/14827,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96903844761126,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:32,published-R17,-6726/2305,17,18,1,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96901484412967,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:33,published-R17,-15937/10028,17,18,1,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96885171728162,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:35,published-R17,-649/10913,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96862013957956,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:36,published-R17,12344/8655,17,17,0,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96861086301611,COMPLETE_NATIVE_ATLAS,39120,0,NOT_APPLICABLE,0,NOT_APPLICABLE,0,0,0,0,0,1
compact_r17_initial_measurements_v1.json:compact-r17-h16384-v1:37,published-R17,-430/7371,17,19,2,UNKNOWN,compact-r17-h16384-v1,initial_measurement,43,96829241079818,COMPLETE_NATIVE_ATLAS,39120,1,0,0,NOT_APPLICABLE,0,0,0,0,0,2
